term,term_id,document_frequency,idf,avg_tf,max_tf,max_tf_document,avg_tfidf,max_tfidf,max_tfidf_document
user,38,347.0,0.9191684317017702,1.6426512968299711,7.0,252,0.6022138000804701,6.434179021912391,252
the,12,295.0,1.0815178553088096,1.311864406779661,5.0,726,0.48108897701667735,5.407589276544048,726
to,14,227.0,1.3435431941672267,1.1806167400881058,3.0,325,0.4138730759043871,4.03062958250168,325
a,0,191.0,1.5162197836019995,1.1884816753926701,4.0,183,0.39561136882488956,6.064879134407998,183
of,25,180.0,1.575536360758419,1.1055555555555556,3.0,454,0.3603813055068108,4.726609082275257,454
is,8,163.0,1.674743010841867,1.1411042944785277,3.0,290,0.35804850576619224,5.024229032525601,290
for,80,152.0,1.7446126908023531,1.1578947368421053,5.0,765,0.3529331420473726,8.723063454011765,765
and,30,147.0,1.7780606248698931,1.1156462585034013,4.0,440,0.33517464652719825,7.1122424994795725,440
in,116,149.0,1.7645469057031704,1.1073825503355705,3.0,358,0.3346554476333599,5.293640717109511,358
i,67,114.0,2.032294763254134,1.1842105263157894,4.0,611,0.31535608395322773,8.129179053016536,611
on,199,108.0,2.0863619845244097,1.0925925925925926,2.0,17,0.2829778323837705,4.172723969048819,17
you,40,79.0,2.399045359181608,1.1645569620253164,2.0,223,0.2536921529249516,4.798090718363216,223
it,273,70.0,2.5199979695992702,1.1285714285714286,3.0,468,0.22882740183717512,7.559993908797811,468
that,276,74.0,2.4644281184444594,1.0675675675675675,2.0,249,0.22378140385874976,4.928856236888919,249
this,290,78.0,2.4117843849590375,1.0256410256410255,2.0,246,0.22177327677784253,4.823568769918075,246
with,17,67.0,2.5638005922576634,1.0597014925373134,2.0,269,0.20922970350608516,5.127601184515327,269
are,31,59.0,2.69095576774291,1.1016949152542372,3.0,273,0.20104841942906798,8.07286730322873,273
trump,184,61.0,2.6576193474753182,1.0163934426229508,2.0,504,0.18939356269364338,5.3152386949506365,504
be,389,57.0,2.7254419438140793,1.0526315789473684,2.0,74,0.18796151336648823,5.450883887628159,74
not,71,57.0,2.7254419438140793,1.0350877192982457,2.0,606,0.18482882147704677,5.450883887628159,606
as,77,46.0,2.9398518151595345,1.173913043478261,2.0,240,0.18247356094093664,5.879703630319069,240
my,10,49.0,2.8766729135380027,1.0408163265306123,2.0,593,0.16863255010395187,5.753345827076005,593
have,6,49.0,2.8766729135380027,1.0408163265306123,2.0,225,0.16863255010395187,5.753345827076005,225
just,69,47.0,2.9183456099385707,1.0638297872340425,2.0,230,0.16772101206543508,5.8366912198771415,230
at,20,45.0,2.9618307218783095,1.0444444444444445,2.0,594,0.16000694704400062,5.923661443756619,594
from,254,48.0,2.8972922007407385,1.0,1.0,22,0.15985060417879937,2.8972922007407385,22
so,141,43.0,3.007293095955067,1.0465116279069768,2.0,29,0.15554964289422762,6.014586191910134,29
by,42,43.0,3.007293095955067,1.0232558139534884,2.0,868,0.15209298416324477,6.014586191910134,868
was,542,41.0,3.0549211449443217,1.048780487804878,2.0,554,0.15099035543977682,6.109842289888643,554
we,516,41.0,3.0549211449443217,1.048780487804878,2.0,430,0.1509903554397768,6.109842289888643,430
how,81,41.0,3.0549211449443217,1.024390243902439,2.0,529,0.14747895182489829,6.109842289888643,529
about,1,37.0,3.157575299004405,1.0810810810810811,2.0,63,0.1451758758162945,6.31515059800881,63
can,562,37.0,3.157575299004405,1.054054054054054,2.0,437,0.1415464789208871,6.31515059800881,437
all,239,38.0,3.1309070519222435,1.0263157894736843,2.0,531,0.1403510057758247,6.261814103844487,531
your,426,32.0,3.302757308848903,1.09375,3.0,464,0.1328695469077145,9.908271926546709,464
its,138,34.0,3.242132687032468,1.0294117647058822,2.0,179,0.13043062534038663,6.484265374064936,179
people,530,32.0,3.302757308848903,1.0625,2.0,573,0.12907327413892264,6.605514617697806,573
he,44,32.0,3.302757308848903,1.0625,2.0,555,0.12907327413892264,6.605514617697806,555
has,413,33.0,3.2719856501821494,1.0303030303030303,2.0,832,0.1278707035703369,6.543971300364299,832
they,531,30.0,3.367295829986474,1.1,2.0,447,0.12772501424086624,6.734591659972948,447
im,68,33.0,3.2719856501821494,1.0,1.0,5,0.1241098005241505,3.2719856501821494,5
what,672,31.0,3.3345060071634833,1.032258064516129,2.0,655,0.12264849681520858,6.669012014326967,655
will,145,32.0,3.302757308848903,1.0,1.0,11,0.12148072860133896,3.302757308848903,11
if,465,29.0,3.4011973816621555,1.0689655172413792,2.0,134,0.12119209061095036,6.802394763324311,134
his,668,26.0,3.5103966736271475,1.1538461538461537,2.0,78,0.12104816115955683,7.020793347254295,78
me,48,27.0,3.4726563456443005,1.1111111111111112,2.0,3,0.11974677053945863,6.945312691288601,3
like,46,31.0,3.3345060071634833,1.0,1.0,3,0.11881573128973331,3.3345060071634833,3
up,37,31.0,3.3345060071634833,1.0,1.0,2,0.11881573128973331,3.3345060071634833,2
get,265,28.0,3.4362887014734254,1.0714285714285714,2.0,117,0.1184927138439112,6.872577402946851,117
us,458,29.0,3.4011973816621555,1.0344827586206897,2.0,269,0.11728266833317777,6.802394763324311,269
more,1020,29.0,3.4011973816621555,1.0,1.0,125,0.11337324605540518,3.4011973816621555,125
but,59,28.0,3.4362887014734254,1.0,1.0,5,0.11059319958765049,3.4362887014734254,5
out,245,28.0,3.4362887014734254,1.0,1.0,21,0.11059319958765049,3.4362887014734254,21
who,124,25.0,3.5496173867804286,1.08,2.0,210,0.11016053958973744,7.099234773560857,210
an,427,25.0,3.5496173867804286,1.04,2.0,616,0.10608051960493234,7.099234773560857,616
no,95,23.0,3.63299899571948,1.0869565217391304,3.0,210,0.1043965228655023,10.89899698715844,210
dont,847,24.0,3.590439381300684,1.0416666666666667,2.0,488,0.10317354543967483,7.180878762601368,488
or,257,22.0,3.6774507582903135,1.0909090909090908,2.0,42,0.10144691747007763,7.354901516580627,42
one,96,22.0,3.6774507582903135,1.0909090909090908,2.0,509,0.10144691747007763,7.354901516580627,509
good,137,22.0,3.6774507582903135,1.0454545454545454,2.0,290,0.09721996257549105,7.354901516580627,290
now,1306,23.0,3.63299899571948,1.0,1.0,174,0.09604480103626213,3.63299899571948,174
love,171,20.0,3.7727609380946383,1.1,2.0,44,0.09540315015871498,7.545521876189277,44
when,251,22.0,3.6774507582903135,1.0,1.0,21,0.09299300768090447,3.6774507582903135,21
go,136,21.0,3.7239707739252066,1.0,1.0,11,0.08988894971543603,3.7239707739252066,11
see,981,19.0,3.824054232482189,1.0526315789473684,2.0,616,0.08790929270073997,7.648108464964378,616
new,316,19.0,3.824054232482189,1.0,1.0,30,0.08351382806570298,3.824054232482189,30
via,122,19.0,3.824054232482189,1.0,1.0,9,0.08351382806570298,3.824054232482189,9
our,512,19.0,3.824054232482189,1.0,1.0,57,0.08351382806570298,3.824054232482189,57
right,842,19.0,3.824054232482189,1.0,1.0,99,0.08351382806570298,3.824054232482189,99
obama,707,17.0,3.9352798675924134,1.0588235294117647,2.0,307,0.08141958346742924,7.870559735184827,307
some,469,17.0,3.9352798675924134,1.0588235294117647,2.0,151,0.08141958346742924,7.870559735184827,151
would,174,18.0,3.8781214537524646,1.0,1.0,14,0.08023699559487858,3.8781214537524646,14
over,438,15.0,4.060443010546419,1.1333333333333333,2.0,291,0.07934198986125188,8.120886021092838,291
their,843,16.0,3.995904489408848,1.0625,2.0,99,0.0780808923217821,7.991808978817696,99
really,644,16.0,3.995904489408848,1.0625,2.0,732,0.0780808923217821,7.991808978817696,732
only,333,17.0,3.9352798675924134,1.0,1.0,32,0.07689627327479429,3.9352798675924134,32
great,491,17.0,3.9352798675924134,1.0,1.0,54,0.07689627327479429,3.9352798675924134,54
president,35,15.0,4.060443010546419,1.0666666666666667,2.0,307,0.07467481398706056,8.120886021092838,307
think,532,16.0,3.995904489408848,1.0,1.0,59,0.0734878986557949,3.995904489408848,59
thanksgiving,308,16.0,3.995904489408848,1.0,1.0,29,0.0734878986557949,3.995904489408848,29
than,1989,16.0,3.995904489408848,1.0,1.0,319,0.0734878986557949,3.995904489408848,319
here,374,16.0,3.995904489408848,1.0,1.0,38,0.0734878986557949,3.995904489408848,38
u,533,14.0,4.129435882033371,1.0714285714285714,2.0,117,0.07119717037988571,8.258871764066742,117
going,340,14.0,4.129435882033371,1.0714285714285714,2.0,273,0.0711971703798857,8.258871764066742,273
tesla,941,11.0,4.370597938850259,1.2727272727272727,2.0,292,0.07033146108494669,8.741195877700518,292
5,98,15.0,4.060443010546419,1.0,1.0,8,0.0700076381128693,4.060443010546419,8
thankyouobama,424,15.0,4.060443010546419,1.0,1.0,44,0.0700076381128693,4.060443010546419,44
security,119,15.0,4.060443010546419,1.0,1.0,9,0.0700076381128693,4.060443010546419,9
look,487,15.0,4.060443010546419,1.0,1.0,53,0.0700076381128693,4.060443010546419,53
2,517,15.0,4.060443010546419,1.0,1.0,58,0.0700076381128693,4.060443010546419,58
do,79,15.0,4.060443010546419,1.0,1.0,6,0.0700076381128693,4.060443010546419,6
white,1287,15.0,4.060443010546419,1.0,1.0,171,0.0700076381128693,4.060443010546419,171
most,9,15.0,4.060443010546419,1.0,1.0,0,0.0700076381128693,4.060443010546419,0
why,278,15.0,4.060443010546419,1.0,1.0,24,0.0700076381128693,4.060443010546419,24
hatchimals,464,12.0,4.283586561860629,1.1666666666666667,2.0,244,0.06893127800695265,8.567173123721258,244
day,525,13.0,4.203543854187092,1.0769230769230769,2.0,498,0.06764323443519459,8.407087708374185,498
bannon,734,13.0,4.203543854187092,1.0769230769230769,2.0,535,0.06764323443519459,8.407087708374185,535
too,50,13.0,4.203543854187092,1.0769230769230769,2.0,3,0.06764323443519459,8.407087708374185,3
them,347,13.0,4.203543854187092,1.0769230769230769,2.0,33,0.06764323443519459,8.407087708374185,33
minimum,761,13.0,4.203543854187092,1.0769230769230769,2.0,386,0.06764323443519459,8.407087708374185,386
voter,348,10.0,4.465908118654584,1.3,2.0,108,0.06673196039368919,8.931816237309167,108
should,361,14.0,4.129435882033371,1.0,1.0,36,0.06645069235455998,4.129435882033371,36
time,478,14.0,4.129435882033371,1.0,1.0,51,0.06645069235455998,4.129435882033371,51
were,349,14.0,4.129435882033371,1.0,1.0,33,0.06645069235455998,4.129435882033371,33
need,70,14.0,4.129435882033371,1.0,1.0,5,0.06645069235455998,4.129435882033371,5
fantasticbeasts,787,14.0,4.129435882033371,1.0,1.0,93,0.06645069235455998,4.129435882033371,93
her,391,14.0,4.129435882033371,1.0,1.0,40,0.06645069235455998,4.129435882033371,40
young,284,14.0,4.129435882033371,1.0,1.0,25,0.06645069235455998,4.129435882033371,25
say,140,11.0,4.370597938850259,1.1818181818181819,2.0,468,0.06530778529316479,8.741195877700518,468
life,502,12.0,4.283586561860629,1.0833333333333333,2.0,439,0.06400761529217032,8.567173123721258,439
wage,766,12.0,4.283586561860629,1.0833333333333333,2.0,802,0.06400761529217032,8.567173123721258,802
fossil,243,12.0,4.283586561860629,1.0833333333333333,2.0,100,0.06400761529217032,8.567173123721258,100
did,641,12.0,4.283586561860629,1.0833333333333333,2.0,447,0.0640076152921703,8.567173123721258,447
know,919,12.0,4.283586561860629,1.0833333333333333,2.0,202,0.0640076152921703,8.567173123721258,202
been,323,13.0,4.203543854187092,1.0,1.0,32,0.06281157483268068,4.203543854187092,32
steve,739,13.0,4.203543854187092,1.0,1.0,87,0.06281157483268068,4.203543854187092,87
trumps,436,13.0,4.203543854187092,1.0,1.0,45,0.06281157483268068,4.203543854187092,45
kim,716,13.0,4.203543854187092,1.0,1.0,84,0.06281157483268068,4.203543854187092,84
watching,309,13.0,4.203543854187092,1.0,1.0,29,0.06281157483268068,4.203543854187092,29
being,252,13.0,4.203543854187092,1.0,1.0,22,0.06281157483268068,4.203543854187092,22
take,952,13.0,4.203543854187092,1.0,1.0,114,0.06281157483268068,4.203543854187092,114
4,18,11.0,4.370597938850259,1.0909090909090908,2.0,22,0.060284109501382875,8.741195877700518,22
speech,385,11.0,4.370597938850259,1.0909090909090908,2.0,193,0.060284109501382875,8.741195877700518,193
she,344,11.0,4.370597938850259,1.0909090909090908,2.0,33,0.060284109501382875,8.741195877700518,33
bob,614,12.0,4.283586561860629,1.0,1.0,71,0.059083952577387994,4.283586561860629,71
back,388,12.0,4.283586561860629,1.0,1.0,40,0.05908395257738799,4.283586561860629,40
gun,547,12.0,4.283586561860629,1.0,1.0,61,0.05908395257738799,4.283586561860629,61
grayson,400,12.0,4.283586561860629,1.0,1.0,41,0.05908395257738799,4.283586561860629,41
israel,21,12.0,4.283586561860629,1.0,1.0,1,0.05908395257738799,4.283586561860629,1
many,528,12.0,4.283586561860629,1.0,1.0,59,0.05908395257738799,4.283586561860629,59
where,908,12.0,4.283586561860629,1.0,1.0,109,0.05908395257738799,4.283586561860629,109
news,104,12.0,4.283586561860629,1.0,1.0,8,0.05908395257738799,4.283586561860629,8
black,304,10.0,4.465908118654584,1.1,2.0,468,0.05646550494850623,8.931816237309167,468
please,1569,10.0,4.465908118654584,1.1,2.0,682,0.056465504948506225,8.931816237309167,682
him,65,10.0,4.465908118654584,1.1,2.0,351,0.056465504948506225,8.931816237309167,351
blackfriday,779,11.0,4.370597938850259,1.0,1.0,92,0.05526043370960098,4.370597938850259,92
fuels,244,11.0,4.370597938850259,1.0,1.0,21,0.05526043370960098,4.370597938850259,21
thank,1582,11.0,4.370597938850259,1.0,1.0,227,0.05526043370960098,4.370597938850259,227
god,382,11.0,4.370597938850259,1.0,1.0,39,0.05526043370960098,4.370597938850259,39
control,1113,11.0,4.370597938850259,1.0,1.0,139,0.05526043370960098,4.370597938850259,139
still,1408,11.0,4.370597938850259,1.0,1.0,192,0.05526043370960098,4.370597938850259,192
vegetarianism,16,11.0,4.370597938850259,1.0,1.0,0,0.05526043370960098,4.370597938850259,0
3,125,11.0,4.370597938850259,1.0,1.0,10,0.05526043370960098,4.370597938850259,10
after,726,11.0,4.370597938850259,1.0,1.0,86,0.05526043370960098,4.370597938850259,86
beautyandthebeast,639,11.0,4.370597938850259,1.0,1.0,74,0.05526043370960097,4.370597938850259,74
nbawards,357,11.0,4.370597938850259,1.0,1.0,35,0.05526043370960097,4.370597938850259,35
